[13:37:59:576] [] [INFO] SeezoonAdminApplication  -Starting SeezoonAdminApplication on DESKTOP-BT6LP9I with PID 16360 (E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes started by cooper in E:\project\DevProject\pro\devpro)
[13:37:59:577] [] [DEBUG] SeezoonAdminApplication  -Running with Spring Boot v2.0.2.RELEASE, Spring v5.0.6.RELEASE
[13:37:59:577] [] [INFO] SeezoonAdminApplication  -The following profiles are active: dev
[13:37:59:705] [] [INFO] AnnotationConfigServletWebServerApplicationContext  -Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@4de0c03c: startup date [Fri May 08 13:37:59 CST 2020]; root of context hierarchy
[13:38:01:556] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\common\config\FileHandlerConfig.class]
[13:38:01:556] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\common\config\RedisConfig.class]
[13:38:01:557] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\common\config\SwaggerConfig.class]
[13:38:01:557] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\common\file\config\AliOssConfig.class]
[13:38:01:557] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\common\file\config\LocalConfig.class]
[13:38:01:557] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\common\file\handler\AliFileFileHandler.class]
[13:38:01:557] [] [DEBUG] ClassPathMapperScanner  -Identified candidate component class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\common\file\handler\FileHandler.class]
[13:38:01:557] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\common\file\handler\LocalFileHandler.class]
[13:38:01:557] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\common\http\HttpClientConfig.class]
[13:38:01:557] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\common\http\HttpClientIdleConnectionMonitor.class]
[13:38:01:557] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\common\http\HttpPoolClient$1.class]
[13:38:01:557] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\common\http\HttpPoolClient.class]
[13:38:01:557] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\common\http\HttpRequestUtils.class]
[13:38:01:557] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\common\job\BaseJob.class]
[13:38:01:557] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\common\job\JobThreadAspect.class]
[13:38:01:558] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\common\utils\BtRemoteValidateResult.class]
[13:38:01:558] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\common\utils\FileUtils.class]
[13:38:01:558] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\common\utils\IpUtils.class]
[13:38:01:558] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\common\utils\TreeHelper.class]
[13:38:01:562] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\base\web\DeviceInfoController.class]
[13:38:01:562] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\base\web\DeviceStaticInfoController.class]
[13:38:01:563] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\base\web\utils\DeviceUtil.class]
[13:38:01:563] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\demo\task\TaskDataflowDemo.class]
[13:38:01:563] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\demo\task\TaskNoShardingDemo.class]
[13:38:01:563] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\demo\task\TaskShardingDemo.class]
[13:38:01:564] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\filter\AdminFilter.class]
[13:38:01:564] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\security\AccessDeniedHandlerAdvice.class]
[13:38:01:564] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\security\AdminPasswordEncoder.class]
[13:38:01:564] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\security\AdminUserDetails.class]
[13:38:01:565] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\security\AdminUserDetailsService.class]
[13:38:01:565] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\security\AdminUsernamePasswordAuthenticationFilter.class]
[13:38:01:565] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\security\LoginResultHandler.class]
[13:38:01:565] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\security\PermissionGrantedAuthority.class]
[13:38:01:565] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\security\SecurityUtils.class]
[13:38:01:566] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\security\User.class]
[13:38:01:566] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\security\WebSecurityConfig$1.class]
[13:38:01:566] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\security\WebSecurityConfig.class]
[13:38:01:566] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\service\FileService.class]
[13:38:01:566] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\service\LoginSecurityService.class]
[13:38:01:567] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\utils\DataPermissionBuilder.class]
[13:38:01:567] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\utils\HttpStatus.class]
[13:38:01:567] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\web\CustomerWebMvcConfigurerAdapter.class]
[13:38:01:567] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\web\FileController.class]
[13:38:01:567] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\web\form\LoginForm.class]
[13:38:01:568] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\web\PublicDictController.class]
[13:38:01:568] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\web\SysAreaController.class]
[13:38:01:568] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\web\SysDeptController.class]
[13:38:01:568] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\web\SysDictController.class]
[13:38:01:568] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\web\SysFileController.class]
[13:38:01:569] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\web\SysGenController.class]
[13:38:01:569] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\web\SysLoginLogController.class]
[13:38:01:569] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\web\SysMenuController.class]
[13:38:01:569] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\web\SysParamController.class]
[13:38:01:570] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\web\SysRoleController.class]
[13:38:01:570] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\web\SysUserController.class]
[13:38:01:570] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\modules\sys\web\UserController.class]
[13:38:01:570] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-admin-web\target\classes\com\seezoon\admin\SeezoonAdminApplication.class]
[13:38:01:570] [] [DEBUG] ClassPathMapperScanner  -Identified candidate component class: file [E:\project\DevProject\pro\devpro\devpro-service\target\classes\com\seezoon\service\modules\base\dao\DeviceInfoDao.class]
[13:38:01:570] [] [DEBUG] ClassPathMapperScanner  -Identified candidate component class: file [E:\project\DevProject\pro\devpro\devpro-service\target\classes\com\seezoon\service\modules\base\dao\DeviceStaticInfoDao.class]
[13:38:01:571] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-service\target\classes\com\seezoon\service\modules\base\entity\DeviceInfo.class]
[13:38:01:571] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-service\target\classes\com\seezoon\service\modules\base\entity\DeviceStaticInfo.class]
[13:38:01:571] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-service\target\classes\com\seezoon\service\modules\base\entity\DeviceType.class]
[13:38:01:571] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-service\target\classes\com\seezoon\service\modules\base\service\DeviceInfoService.class]
[13:38:01:571] [] [DEBUG] ClassPathMapperScanner  -Ignored because not a concrete top-level class: file [E:\project\DevProject\pro\devpro\devpro-service\target\classes\com\seezoon\service\modules\base\service\DeviceStaticInfoService.class]
[13:38:01:571] [] [DEBUG] ClassPathMapperScanner  -Identified candidate component class: file [E:\project\DevProject\pro\devpro\devpro-service\target\classes\com\seezoon\service\modules\sys\dao\SysAreaDao.class]
[13:38:01:572] [] [DEBUG] ClassPathMapperScanner  -Identified candidate component class: file [E:\project\DevProject\pro\devpro\devpro-service\target\classes\com\seezoon\service\modules\sys\dao\SysDeptDao.class]
[13:38:01:572] [] [DEBUG] ClassPathMapperScanner  -Identified candidate component class: file [E:\project\DevProject\pro\devpro\devpro-service\target\classes\com\seezoon\service\modules\sys\dao\SysDictDao.class]
[13:38:01:572] [] [DEBUG] ClassPathMapperScanner  -Identified candidate component class: file [E:\project\DevProject\pro\devpro\devpro-service\target\classes\com\seezoon\service\modules\sys\dao\SysFileDao.class]
[13:38:01:572] [] [DEBUG] ClassPathMapperScanner  -Identified candidate component class: file [E:\project\DevProject\pro\devpro\devpro-service\target\classes\com\seezoon\service\modules\sys\dao\SysGenDao.class]
[13:38:01:572] [] [DEBUG] ClassPathMapperScanner  -Identified candidate component class: file [E:\project\DevProject\pro\devpro\devpro-service\target\classes\com\seezoon\service\modules\sys\dao\SysLoginLogDao.class]
